url,content
https://ddr.densho.org/ddr-ajah-1/," Collection consists of interviews with nisei and sansei talking about the japanese american community in alameda, california . Project partners include the internet archive (archive.org), the alameda library, the buddhist temple of alameda . The goal of the project is to reach and educate the world wide general public ."
https://ddr.densho.org/ddr-chi-1/," This collection consists of interviews conducted during the ""then they came for me: incarceration of japanese americans during wwii and the demise of civil liberties"" The majority of these interviews focus on both pre-war life, wartime incarceration, and postwar resettlement to chicago and the midwest ."
https://ddr.densho.org/ddr-csujad-1/," Collection contains correspondence, photographs, articles, chronologies, rosters, books, booklets, programs, reunion yearbook, and album . depicts americans of japanese ancestry’s military service, mainly anti-tank company, 100th infantry battalion, 442nd regimental combat team, and military intelligence service ."
https://ddr.densho.org/ddr-csujad-2/," Collection documents the administrative duties of willard schmidt, the chief of internal security for the war relocation authority and the tule lake incarceration/segregation camp . In 1943, the camp was turned into a segregation center to house ""disloyal"" japanese americans relocated from other camps based on loyalty questionnaire ."
https://ddr.densho.org/ddr-csujad-3/," The photo album is a collection of tule lake incarceration camp photos . The album highlights toshio oku (1925-2010), the son of naojiro oku and misao oku . The photos include photos of a fire, group photo of the electrical department, inside the print shop of the newell star ."
https://ddr.densho.org/ddr-csujad-4/," Collection contains mainly correspondence between emiko and usami terada, incarcerees in the rohwer incarceration camp, mcgehee arkansas, and the thomas family in lawndale, california . Also included are photographs taken in the camp and fliers published during wartime ."
https://ddr.densho.org/ddr-csujad-5/," The okine collection was collected by seiichi and tomeyo okine who were issei flower growers in whittier, california . It includes correspondence, photographs, financial documents, and a photo album . The collection includes a family photo album compiled by dorothy ai aoki, a nisei daughter to the okines ."
https://ddr.densho.org/ddr-csujad-6/," Japanese oral histories capture the experience of japanese americans, primarily nisei, living in the san joaquin valley . topics primarily include incarceration and post-war experiences . narrator george and jean abe: ‘today's date is august 22 twenty seventh ouh 27 1999 first were going to cover several periods life best world her in and then work war and then after world her il and then daytime you want the a rest let me know’"
https://ddr.densho.org/ddr-csujad-7/," Collection includes contemporary and contemporaneous materials about the incarceration of people of japanese ancestry during world war ii from the perspective of japans, the united states government, and others . Collection includes material from the collection of the California State University's special collections library, california state university, fresno. California State Library ."
https://ddr.densho.org/ddr-csujad-8/," mr norton aet ready le august 25 160 1 woman rustan anew have te privilege ta be in the hare of ny untied nureeryran george abe in selna, california 83662, before ve get into the interview proper i would like to have you give he your tell name place and date of birth and your place of jengeet peolaence. mr gorge are dad teatou abe was from niagara and mon leave anew to iron pucushina, dad care op a’vhaling vessel around 1900 white nether ame in either 1906 or 1907 ."
https://ddr.densho.org/ddr-csujad-9/," Interview of edwin (ed) sasaki, a professor of the psychology department, conducted by the public history institute at california state university, bakersfield . Professor sasaki recollects his family’s experiences during the world war ii, being arrested as a suspect and incarcerated in tule lake after the attack on pearl harbor ."
https://ddr.densho.org/ddr-csujad-10/," The crystal city peruvian letters collection contains three letters written by kiyoko and yoshihiko matsuura, japanese peruvians interned at the crystal city internment, texas, to their mother/grandmother . The collection is part of a Japanese American history digitization project . isaaitaun14 on of e 4 f susan von iaurnw9saam snow ."
https://ddr.densho.org/ddr-csujad-11/," Collection of mostly photographs compiled by tazuko ""tazu"" kawamoto that document various people, events, and activities throughout 1939-1943 . Collection also has photographs most likely taken inside the gila river incarceration camp in arizona, including a photograph of dentists at the community hospital ."
https://ddr.densho.org/ddr-csujad-12/, This collection contains one box of documents belonging to tsugitada kanamori . materials in this collection mostly pertain to his efforts regarding canceling his renunciation and reinstating his american citizenship . This collection is courtesy of the department of archives and special collections. california state university .
https://ddr.densho.org/ddr-csujad-13/," The owen m. sylvester photograph collection (1942-1943, undated) contains 32 black-and-white photographs taken at tule lake incarceration camp in newell, california in november 1943 . The majority of the photographs were taken inside the tule Lake incarceration camp, the stockade area, imprisoned japanese americans, and members of the 772nd military police battalion ."
https://ddr.densho.org/ddr-csujad-14/," The collection contains documents by and about the japanese-american experience during world war ii. The tomo foundation in illinois donated the collection, which contains documents . The collection was created by the Tomo foundation, a foundation in Illinois, and California State University ."
https://ddr.densho.org/ddr-csujad-15/," Collection includes scrapbooks filled with news clippings on japanese american incarceration, dated 1942-1980s . Collection includes loose issues of pacific citizen, kashu mainichi, rafu shimpo, and maui kanyaku imin (centennial edition)"
https://ddr.densho.org/ddr-csujad-16/," Collection includes non-war relocation authority documents issued in the incarceration camps or that are related to the incarceration . Japanese-American incarceration camps during world war ii were administered by the war relocation authority . Camp incarcerees independently wrote and distributed many of their own documents associated with the camp newspapers, camp stores, school publications ."
https://ddr.densho.org/ddr-csujad-17/," Summer school sumner eehoot, aeoiet boa peinariiy for those who deserved lice pletsa . The 25 command wiz in and joliet act park in to ve sorted ion report 48 selwol, told outrage weeks unaetood is by bitten gains a honey assembly ."
https://ddr.densho.org/ddr-csujad-18/," Many non-governmental groups sought redress for japanese americans incarcerated during world war ii . The collection contains reports, correspondence, publicity, and other documents issued by the committee on resettlement of j. american student relocation council, ymca, american friends service committee, and j. citizens league ."
https://ddr.densho.org/ddr-csujad-19/," War relocation authority (wra) was created on march 18, 1942, by executive order of the president, no. 9102 . This new civilian agency was to be responsible for ""the relocation (of evacuees) in appropriate places, providing for their needs in such manner as may be appropriate, and supervising their activities"""
https://ddr.densho.org/ddr-csujad-20/," Rev. wendell l. miller was pastor of the university methodist church, los angeles . He became involved in local politics when gambling and prostitution began edging toward the area surrounding the university of southern california (usc) campus . He founded the citizens independent vice investigating committee (c.i.v.c.), which also campaigned against crime and corruption in city hall, ultimately resulting in the recall of mayor frank l. shaw ."
https://ddr.densho.org/ddr-csujad-21/," Papers of two generations of the smith family, dr. frank herron smith and his son dr. morris eugene “gene” smith . Collection includes vintage broadsides and government reports on the incarceration of japanese americans during world war ii ."
https://ddr.densho.org/ddr-csujad-22/," The california folklore miscellany collection is comprised of material documenting various aspects of north bay history, with a focus on beliefs, folkways, folk speech, historical characters, legends, pioneer stories and children's lore . The majority of the materials were gathered from folklore classes taught by dr. hector lee at sonoma state university ."
https://ddr.densho.org/ddr-csujad-23/," The gaye lebaron collection houses the research material of newspaper columnist gaye lebaron, relating to the north bay region of california . files hold support materials for more than 8,200 newspaper columns . included are research notes, correspondence, newspaper clippings, monographs, local documents, journal issues, photographs, oral histories, and ephemera ."
https://ddr.densho.org/ddr-csujad-24/, These materials are from box 73 and 74 of the frank chin papers . They contain personal and professional correspondence between frank chin and michi weglyn relating to particular projects on which . either author was working as well as files related to the day of remembrance tribute to michi . Weglyn .
https://ddr.densho.org/ddr-csujad-25/," The collection contains photographs and albums of the japanese in the united states, mainly washington, california, colorado, and utah . The photographs include family portraits and snapshots capturing their community activities and local events, such as picnic, wedding, funeral, local associations’ activities, etc., mostly taken in the early 1900s . The taenaka family photographs depict their lives as japies immigrants, nisei children, and kibei soldier participating in the war ."
https://ddr.densho.org/ddr-csujad-26/, The robert billigmeier collection is comprised of materials collected during his work and stay at the tule lake incarceration camp conducting research for the university of california’s japanese evacuation and resettlement study (jers) The collection includes: photographs taken during his time at the camp; scrapbook created by students at tule Lake in 1942; camp publications; reports and manuscripts; and student writings .
https://ddr.densho.org/ddr-csujad-27/," Collection of nine images documents the detention of a group of indonesian seamen in 1947 as they await the outcome of deportation proceedings in the federal courts . The images show roughly 200 men at an immigration detention center in downtown san francisco, at the southern pacific depot in San Francisco, and on ship called the ""marine lynx"""
https://ddr.densho.org/ddr-csujad-28/," An American history digitization project visit visit japanese.org.uk . The project is a collaboration between Japan and the U.S. to digitize an American history book . The collection includes oral histories of marilyn fordney, george wakiji, santa anita racetrack, gila river; morris abe of tule ."
https://ddr.densho.org/ddr-csujad-29/," The japanese american oral history project features oral histories with narrators who talk about their lives, pre and post world war ii, but most specifically, about their experience being incarcerated in camps during world war II . The project features narrators talking about their experiences in camps ."
https://ddr.densho.org/ddr-csujad-30/," The children's village at manzanar oral history project features oral histories with narrators who talk about their lives, pre and post world war ii, but most specifically, about their experience . The project is based on the oral histories of people living in Japan and their experiences in Japan ."
https://ddr.densho.org/ddr-csujad-31/," Oral history project documents the lives of japanese americans who lived in the san fernando valley . Participants are multi-generational, with many who experienced firsthand internment and prejudice during world war ii. The narrators also shared stories of farming, family emigration from japan, and the building of their lives and families both before and after the war ."
https://ddr.densho.org/ddr-csujad-32/," The minidoka incarceration camp photograph album may have been compiled by lona haug, vice-principal of the blk 10 school . The album features a photograph of ben kuroki, a japanese american who served in the united states army force during world war II ."
https://ddr.densho.org/ddr-csujad-33/," Collection is a family album compiled by a japanese peruvian family . Photographs depict the lives of the japonaise peruvians in 1930-1950 . included are photographs of japanes peruvian workers and landscapes in a plantation, baseball players of asahi, activities of a men's club, aircrafts landed in the field in peru ."
